12.010000000000000;A2;C03;  - Performance:
12.010000000000000;A2;C03;    · Average throughput = 39.67 Mbps
12.010000000000000;A2;C03;    · Average delay = 0.0001 s
12.010000000000000;A2;C03;    · Maximum delay = 0.0002 s
12.010000000000000;A2;C03;    · Minimum delay = 0.0000 s
12.010000000000000;A2;C03;    · Associated reward = 0.904205
12.010000000000000;A2;F00; ComputeNewConfiguration()
12.010000000000000;A2;F00; SendNewConfigurationToAp()
12.010000000000000;A2;C03;  - Action (0):
12.010000000000000;A2;C03;    · channel = 0
12.010000000000000;A2;C03;    · cca = -82.000000 dBm
12.010000000000000;A2;C03;    · tx_power = 15.000000 dBm
12.010000000000000;A2;C03;    · max_bandwidth = 1
12.010000000000000;A2;C00;  - Next request to be sent at 12.510000
12.510000000000000;A2;F00; RequestInformationToAp() (request #24)
12.510000000000000;A2;F00; InportReceivingInformationFromAp()
12.510000000000000;A2;C03;  - Action (0):
